From,Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
rackspace.4G,hp.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,50,112.861,54445,4.43,4514.432,225.722,0.47,42,12.7,4416,505.6,4416,505.7,4458,505.3,http://15.185.97.80:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,hp.medium,local,PNG,Weighted Overlay,256x256,500,20,500,0,19.522,19848500,25.61,780.887,39.044,992.89,101,139.4,665,426.7,143,85.8,767,446.7,http://15.185.97.80:8000/wo/local_rast1-small/local_rast2-small/3/7/true
localhost,hp.medium,local,Text,Weighted Overlay,256x256,500,20,500,92,6.169,53526,81.05,246.757,12.338,8.47,78,6.2,166,38.2,166,38.2,243,40,http://15.185.97.80:8000/wo/local_rast1-small/local_rast2-small/3/7/false
localhost,hp.medium,local,Text,Weighted Overlay,1408x1408,500,20,500,53,117.671,54443,4.25,4706.828,235.341,0.45,78,6.4,4571,552.8,4571,552.8,4650,553.1,http://15.185.97.80:8000/wo/local_rast1-med/local_rast2-med/3/7/false
rackspace.4G,hp.medium,local,PNG,Weighted Overlay,256x256,500,20,500,0,7.068,19848500,70.74,282.723,14.136,2742.37,45,47.8,232,63,157,56.9,277,76.7,http://15.185.97.80:8000/wo/local_rast1-small/local_rast2-small/3/7/true
rackspace.4G,hp.medium,local,Text,Weighted Overlay,256x256,500,20,500,392,5.66,53564,88.34,226.388,11.319,9.24,39,7.9,184,32.9,184,32.9,224,32.6,http://15.185.97.80:8000/wo/local_rast1-small/local_rast2-small/3/7/false
rackspace.4G,hp.medium,local,Text,Weighted Overlay,1408x1408,500,20,500,64,108.778,54427,4.6,4351.135,217.557,0.49,44,19,4257,482.4,4257,482.4,4301,478.3,http://15.185.97.80:8000/wo/local_rast1-med/local_rast2-med/3/7/false
localhost,rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,63.532,18210500,7.87,2541.278,127.064,279.92,50,11.7,2457,226.7,2347,227.1,2508,225.6,http://198.101.247.103:8000/hillshade-con/cache_rast1-small/5/true
localhost,rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,54.075,17181500,9.25,2162.981,108.149,310.29,50,10.2,2084,219.7,1979,219.6,2134,218.7,http://198.101.247.103:8000/hillshade/cache_rast1-small/5/true
localhost,rackspace.4G,local,PNG,Hillshade,256x256,500,20,500,0,62.763,18210500,7.97,2510.523,125.526,283.35,51,12.7,2427,240.8,2311,241.6,2478,239,http://198.101.247.103:8000/hillshade-con/local_rast1-small/5/true
localhost,rackspace.4G,local,PNG,Hillshade,256x256,500,20,500,0,53.813,17181500,9.29,2152.515,107.626,311.8,58,79.9,2068,252.2,1952,246.6,2126,267.3,http://198.101.247.103:8000/hillshade/local_rast1-small/5/true
localhost,rackspace.4G,cache,PNG,Weighted Overlay,256x256,500,20,500,0,20.747,19848500,24.1,829.89,41.495,934.26,97,228.6,717,508.2,345,337.4,815,548.7,http://198.101.247.103:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,rackspace.4G,cache,Text,Weighted Overlay,256x256,500,20,500,61,10.583,53926,47.24,423.336,21.167,4.98,50,9.4,369,65.2,369,64.1,419,63.6,http://198.101.247.103:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,rackspace.4G,cache,Text,Weighted Overlay,1408x1408,500,20,500,50,188.516,54446,2.65,7540.655,377.033,0.28,51,13,7401,779,7401,778.9,7452,779.5,http://198.101.247.103:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,rackspace.4G,local,PNG,Weighted Overlay,256x256,500,20,500,0,19.253,19848500,25.97,770.1,38.505,1006.79,104,253.5,637,554.9,143,110.4,741,614.8,http://198.101.247.103:8000/wo/local_rast1-small/local_rast2-small/3/7/true
localhost,rackspace.4G,local,Text,Weighted Overlay,256x256,500,20,500,427,9.083,53919,55.05,363.33,18.166,5.8,49,8.1,310,41.4,310,41.4,359,40.4,http://198.101.247.103:8000/wo/local_rast1-small/local_rast2-small/3/7/false
localhost,rackspace.4G,local,Text,Weighted Overlay,1408x1408,500,20,500,51,181.41,54439,2.76,7256.392,362.82,0.29,53,19,7121,787.6,7121,787.5,7174,787.1,http://198.101.247.103:8000/wo/local_rast1-med/local_rast2-med/3/7/false
localhost,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,38.411,18210500,13.02,1536.436,76.822,462.99,79,6.6,1437,145.9,1267,141,1516,147.9,http://15.185.97.80:8000/hillshade-con/cache_rast1-small/5/true
localhost,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,34.345,17181500,14.56,1373.806,68.69,488.53,78,6.2,1276,145.2,1110,142.1,1354,146.7,http://15.185.97.80:8000/hillshade/cache_rast1-small/5/true
localhost,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,38.126,18210500,13.11,1525.055,76.253,466.44,81,44.7,1425,136.8,1250,128.9,1505,144.4,http://15.185.97.80:8000/hillshade-con/cache_rast1-small/5/true
localhost,hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,34.386,17181500,14.54,1375.457,68.773,487.95,79,6.6,1277,150.8,1099,156.9,1356,151.4,http://15.185.97.80:8000/hillshade/cache_rast1-small/5/true
localhost,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,111.751,18210500,4.47,4470.044,223.502,159.14,14,7.6,4404,412.7,4332,411.5,4418,412.3,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade-con/cache_rast1-small/5/true
localhost,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,93.77,17181500,5.33,3750.793,187.54,178.94,16,45.1,3688,439.3,3623,438.9,3703,441,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/5/true
localhost,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,109.536,18210500,4.56,4381.421,219.071,162.36,14,7.2,4312,442.1,4241,436.2,4326,441.9,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade-con/cache_rast1-small/5/true
localhost,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,92.951,17181500,5.38,3718.056,185.903,180.51,18,63.7,3654,439,3587,441.1,3672,444.5,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/5/true
localhost,hp.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,19.249,19848500,25.98,769.943,38.497,1007,107,164.7,645,333.6,182,156.8,752,369.4,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,hp.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,20.907,19848500,23.92,836.281,41.814,927.12,128,253.5,682,804.8,141,127.6,811,877.5,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,m1.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,33.745,19848500,14.82,1349.78,67.489,574.41,49,218.8,1264,442,1149,429,1313,486,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,m1.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,20.907,19848500,23.92,836.262,41.813,927.14,55,240.4,732,538.5,464,237.6,788,597.4,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,hp.medium,cache,Text,Weighted Overlay,256x256,500,20,500,238,7.085,53675,70.57,283.412,14.171,7.4,78,6.1,202,47.9,202,47.9,280,49.6,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,hp.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,59,122.914,54434,4.07,4916.571,245.829,0.43,81,45.5,4782,547.3,4782,547.3,4863,547.5,http://15.185.97.80:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,hp.medium,cache,Text,Weighted Overlay,256x256,500,20,500,101,6.321,53513,79.11,252.823,12.641,8.27,85,77.6,164,40.7,164,39.1,250,90.4,http://15.185.97.80:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,hp.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,52,120.268,54441,4.16,4810.702,240.535,0.44,85,78.1,4664,496.6,4663,495.9,4749,502.3,http://15.185.97.80:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,m1.medium,cache,Text,Weighted Overlay,256x256,500,20,500,47,23.966,53950,20.86,958.634,47.932,2.2,18,47.6,931,153.1,931,152.6,950,160,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,m1.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,55,325.718,54439,1.54,13028.722,651.436,0.16,19,77.6,12864,1312.3,12862,1313.1,12882,1315.1,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,m1.medium,cache,Text,Weighted Overlay,256x256,500,20,500,50,18.468,53945,27.07,738.733,36.937,2.85,13,6.4,717,136.7,716,136.6,729,137,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,m1.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,50,363.504,54445,1.38,14540.179,727.009,0.15,15,45,14352,1605.2,14349,1603.9,14367,1606.1,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
localhost,hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,38.129,18210500,13.11,1525.165,76.258,466.41,79,6.4,1421,142.2,1247,136,1499,143.8,http://15.185.97.80:8000/hillshade-con/local_rast1-small/5/true
localhost,hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,34.34,17181500,14.56,1373.619,68.681,488.6,79,6.9,1274,152.7,1106,149.7,1353,153.9,http://15.185.97.80:8000/hillshade/local_rast1-small/5/true
